Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent
Japan,1,1,JP-1,佐藤,Satō,1990000,0.0157
Japan,2,2,JP-2,鈴木,Suzuki,1900000,0.0150
Japan,3,3,JP-3,高橋,Takahashi,1470000,0.0116
Japan,4,4,JP-4,田中,Tanaka,1340000,0.0106
Japan,5,5,JP-5,渡辺,Watanabe,1200000,0.0095
Japan,6,6,JP-6,伊藤,Itō,1150000,0.0091
Japan,7,7,JP-7,中村,Nakamura,1080000,0.0085
Japan,8,8,JP-8,小林,Kobayashi,1060000,0.0084
Japan,9,9,JP-9,山本,Yamamoto,1020000,0.0081
Japan,10,10,JP-10,加藤,Katō,920000,0.0073
Japan,11,11,JP-11,吉田,Yoshida,850000,
Japan,12,12,JP-12,山田,Yamada,820000,
Japan,13,13,JP-13,佐々木,Sasaki,710000,
Japan,14,14,JP-14,山口,Yamaguchi,640000,
Japan,15,15,JP-15,松本,Matsumoto,630000,
Japan,16,16,JP-16,井上,Inoue,600000,
Japan,17,17,JP-17,木村,Kimura,580000,
Japan,18,18,JP-18,清水,Shimizu,560000,
Japan,19,19,JP-19,林,Hayashi,550000,
Japan,20,20,JP-20,斉藤,Saitō,530000,
Japan,21,21,JP-21,斎藤,Saitō,520000,
Japan,22,22,JP-22,山崎,Yamazaki,490000,
Japan,22,22,JP-22,山崎,Yamasaki,490000,
Japan,23,23,JP-23,中島,Nakajima,480000,
Japan,23,23,JP-23,中島,Nakashima,480000,
Japan,24,24,JP-24,森,Mori,470000,
Japan,25,25,JP-25,阿部,Abe,470000,
Japan,26,26,JP-26,池田,Ikeda,450000,
Japan,27,27,JP-27,橋本,Hashimoto,450000,
Japan,28,28,JP-28,石川,Ishikawa,440000,
Japan,29,29,JP-29,山下,Yamashita,410000,
Japan,30,30,JP-30,小川,Ogawa,410000,
Japan,31,31,JP-31,石井,Ishii,400000,
Japan,32,32,JP-32,長谷川,Hasegawa,390000,
Japan,33,33,JP-33,後藤,Gotō,390000,
Japan,34,34,JP-34,岡田,Okada,380000,
Japan,35,35,JP-35,近藤,Kondō,370000,
Japan,36,36,JP-36,前田,Maeda,370000,
Japan,37,37,JP-37,藤田,Fujita,370000,
Japan,38,38,JP-38,遠藤,Endō,360000,
Japan,39,39,JP-39,青木,Aoki,350000,
Japan,40,40,JP-40,坂本,Sakamoto,350000,
Japan,41,41,JP-41,村上,Murakami,340000,
Japan,42,42,JP-42,太田,Ōta,320000,
Japan,43,43,JP-43,金子,Kaneko,310000,
Japan,44,44,JP-44,藤井,Fujii,310000,
Japan,45,45,JP-45,福田,Fukuda,300000,
Japan,46,46,JP-46,西村,Nishimura,300000,
Japan,47,47,JP-47,三浦,Miura,300000,
Japan,48,48,JP-48,竹内,Takeuchi,290000,
Japan,49,49,JP-49,中川,Nakagawa,290000,
Japan,50,50,JP-50,岡本,Okamoto,290000,
Japan,51,51,JP-51,松田,Matsuda,290000,
Japan,52,52,JP-52,原田,Harada,290000,
Japan,53,53,JP-53,中野,Nakano,290000,
Japan,54,54,JP-54,小野,Ono,280000,
Japan,55,55,JP-55,田村,Tamura,280000,
Japan,56,56,JP-56,藤原,Fujiwara,270000,
Japan,56,56,JP-56,藤原,Fujihara,270000,
Japan,57,57,JP-57,中山,Nakayama,270000,
Japan,58,58,JP-58,石田,Ishida,270000,
Japan,59,59,JP-59,小島,Kojima,260000,
Japan,60,60,JP-60,和田,Wada,260000,
Japan,61,61,JP-61,森田,Morita,250000,
Japan,62,62,JP-62,内田,Uchida,250000,
Japan,63,63,JP-63,柴田,Shibata,250000,
Japan,64,64,JP-64,酒井,Sakai,240000,
Japan,65,65,JP-65,原,Hara,240000,
Japan,66,66,JP-66,高木,Takagi,240000,
Japan,66,66,JP-66,高木,Takaki,240000,
Japan,67,67,JP-67,横山,Yokoyama,240000,
Japan,68,68,JP-68,安藤,Andō,240000,
Japan,69,69,JP-69,宮崎,Miyazaki,240000,
Japan,69,69,JP-69,宮崎,Miyasaki,240000,
Japan,70,70,JP-70,上田,Ueda,240000,
Japan,70,70,JP-70,上田,Ueta,240000,
Japan,71,71,JP-71,島田,Shimada,230000,
Japan,72,72,JP-72,工藤,Kudō,230000,
Japan,73,73,JP-73,大野,Ōno,220000,
Japan,74,74,JP-74,宮本,Miyamoto,220000,
Japan,75,75,JP-75,杉山,Sugiyama,220000,
Japan,76,76,JP-76,今井,Imai,220000,
Japan,77,77,JP-77,丸山,Maruyama,210000,
Japan,78,78,JP-78,増田,Masuda,210000,
Japan,79,79,JP-79,高田,Takada,210000,
Japan,79,79,JP-79,高田,Takata,210000,
Japan,80,80,JP-80,村田,Murata,210000,
Japan,81,81,JP-81,平野,Hirano,210000,
Japan,82,82,JP-82,大塚,Ōtsuka,210000,
Japan,83,83,JP-83,菅原,Sugawara,210000,
Japan,83,83,JP-83,菅原,Sugahara,210000,
Japan,84,84,JP-84,武田,Takeda,200000,
Japan,84,84,JP-84,武田,Taketa,200000,
Japan,85,85,JP-85,新井,Arai,200000,
Japan,86,86,JP-86,小山,Koyama,200000,
Japan,86,86,JP-86,小山,Oyama,200000,
Japan,87,87,JP-87,野口,Noguchi,200000,
Japan,88,88,JP-88,桜井,Sakurai,200000,
Japan,89,89,JP-89,千葉,Chiba,200000,
Japan,90,90,JP-90,岩崎,Iwasaki,200000,
Japan,91,91,JP-91,佐野,Sano,200000,
Japan,92,92,JP-92,谷口,Taniguchi,200000,
Japan,93,93,JP-93,上野,Ueno,200000,
Japan,94,94,JP-94,松井,Matsui,190000,
Japan,95,95,JP-95,河野,Kōno,190000,
Japan,95,95,JP-95,河野,Kawano,190000,
Japan,96,96,JP-96,市川,Ichikawa,190000,
Japan,97,97,JP-97,渡部,Watanabe,190000,
Japan,97,97,JP-97,渡部,Watabe,190000,
Japan,98,98,JP-98,野村,Nomura,180000,
Japan,99,99,JP-99,菊地,Kikuchi,180000,
Japan,100,100,JP-100,木下,Kinoshita,180000,
Russian Federation,1,1,RU-1,Смирно́в,Smirnov,2308740,0.0161
Russian Federation,2,2,RU-2,Ивано́в,Ivanov,1864200,0.0130
Russian Federation,3,3,RU-3,Кузнецо́в,Kuznetsov,1290600,0.0090
Russian Federation,4,4,RU-4,Попо́в,Popov,1132860,0.0079
Russian Federation,5,5,RU-5,Соколо́в,Sokolov,1046820,0.0073
Russian Federation,6,6,RU-6,Ле́бедев,Lebedev,932100,0.0065
Russian Federation,7,7,RU-7,Козло́в,Kozlov,831720,0.0058
Russian Federation,8,8,RU-8,Но́виков,Novikov,774360,0.0054
Russian Federation,9,9,RU-9,Моро́зов,Morozov,760020,0.0053
Russian Federation,10,10,RU-10,Петро́в,Petrov,630960,0.0044
Russian Federation,11,11,RU-11,Во́лков,Volkov,630960,0.0044
Russian Federation,12,12,RU-12,Соловьёв,Solovyov,630960,0.0044
Russian Federation,13,13,RU-13,Васи́льев,Vasilyev,602280,0.0042
Russian Federation,14,14,RU-14,За́йцев,Zaytsev,587940,0.0041
Russian Federation,15,15,RU-15,Па́влов,Pavlov,559260,0.0039
Russian Federation,16,16,RU-16,Семёнов,Semyonov,501900,0.0035
Russian Federation,17,17,RU-17,Го́лубев,Golubev,458880,0.0032
Russian Federation,18,18,RU-18,Виногра́дов,Vinogradov,458880,0.0032
Russian Federation,19,19,RU-19,Богда́нов,Bogdanov,444540,0.0031
