payment_type,payment_txn_id,payment_txn_success,failure_reason
Internet Banking,40852,Y, 
Internet Banking,70308,Y, 
Wallet,36752,Y, 
UPI,20222,Y, 
Internet Banking,74534,N,Invalid Internet Banking Account
UPI,99752,Y, 
Card,13011,Y, 
Wallet,17499,Y, 
UPI,69856,N,Invalid UPI Account
Internet Banking,28310,Y, 
Card,26103,N,Invalid UPI Account
UPI,84084,N,Invalid Internet Banking Account
Internet Banking,78912,Y, 
Internet Banking,67216,N,Invalid Internet Banking Account
Card,17190,Y, 
UPI,52119,Y, 
Card,74585,N,Invalid UPI Account
Internet Banking,33028,Y, 
Card,84183,Y, 
UPI,94436,Y, 
UPI,74697,Y, 
Internet Banking,74742,Y, 
Internet Banking,31321,Y, 
Internet Banking,18538,N,Invalid Internet Banking Account
UPI,41695,Y, 
UPI,41667,N,Invalid Internet Banking Account
Wallet,89498,Y, 
Internet Banking,39092,N,Invalid Internet Banking Account
Internet Banking,16793,Y, 
Internet Banking,72065,Y, 
Internet Banking,94378,N,Invalid UPI Account
Card,17404,Y, 
Internet Banking,21659,Y, 
UPI,10632,N,Invalid Card
Card,46436,Y, 
UPI,36728,Y, 
UPI,53331,Y, 
Internet Banking,68716,Y, 
Internet Banking,42969,N,Invalid Card
Wallet,92530,Y, 
UPI,48320,N,Invalid UPI Account
Card,51872,N,Invalid UPI Account
Card,31647,Y, 
Internet Banking,45623,N,Invalid UPI Account
Wallet,68834,N,Invalid Card
Card,35087,Y, 
Wallet,39384,N,Invalid UPI Account
Internet Banking,66510,N,Invalid UPI Account
Wallet,91820,N,Invalid CVV
Internet Banking,48006,N,Invalid Internet Banking Account
Wallet,53871,N,Invalid UPI Account
Wallet,47166,Y, 
Internet Banking,75131,Y, 
Card,65018,Y, 
Card,29844,Y, 
UPI,68927,N,Invalid Internet Banking Account
Wallet,71766,Y, 
Internet Banking,65002,Y, 
Card,79937,Y, 
Wallet,11749,Y, 
Card,89483,N,Invalid Card
Card,84089,Y, 
Card,69701,N,Invalid Internet Banking Account
Wallet,48330,N,Invalid UPI Account
UPI,78456,N,Invalid CVV
Internet Banking,52381,Y, 
Wallet,46432,Y, 
Internet Banking,94703,Y, 
Card,95095,Y, 
Wallet,67256,Y, 
Wallet,49243,Y, 
UPI,41681,Y, 
Internet Banking,20664,N,Invalid UPI Account
UPI,32593,N,Invalid Card
Card,90789,N,Invalid CVV
Wallet,25278,N,Invalid UPI Account
Card,62201,N,Invalid CVV
Internet Banking,24227,N,Invalid Card
UPI,49286,N,Invalid CVV
Wallet,13760,Y, 
Card,77994,N,Invalid Internet Banking Account
Card,10255,Y, 
Internet Banking,52445,N,Invalid Card
Internet Banking,29012,Y, 
Internet Banking,92668,Y, 
Wallet,43947,Y, 
Card,68585,Y, 
Internet Banking,88924,N,Invalid Card
Card,61008,Y, 
Card,15011,Y, 
UPI,43242,Y, 
Wallet,13788,Y, 
UPI,64648,Y, 
UPI,22913,Y, 
Wallet,26482,Y, 
Internet Banking,92102,Y, 
Internet Banking,16482,Y, 
UPI,32597,Y, 
Card,87696,Y, 
Wallet,63340,N,Invalid Internet Banking Account
Internet Banking,89247,Y, 
UPI,85754,N,Invalid Card
Internet Banking,45003,Y, 
Wallet,55371,Y, 
Internet Banking,26356,N,Invalid Internet Banking Account
UPI,24359,Y, 
UPI,99332,N,Invalid Internet Banking Account
UPI,85845,Y, 
Wallet,85092,Y, 
UPI,39100,N,Invalid Internet Banking Account
Internet Banking,83655,N,Invalid CVV
UPI,30961,N,Invalid Internet Banking Account
Card,99124,Y, 
Card,56711,Y, 
Card,18359,N,Invalid CVV
Internet Banking,39363,N,Invalid UPI Account
Wallet,50978,N,Invalid Card
UPI,12477,Y, 
Internet Banking,14682,Y, 
Internet Banking,76997,N,Invalid Internet Banking Account
Internet Banking,82439,Y, 
Internet Banking,60740,Y, 
Internet Banking,15462,N,Invalid Internet Banking Account
Card,24010,N,Invalid Card
UPI,71240,Y, 
Wallet,98248,N,Invalid CVV
Card,46355,N,Invalid Internet Banking Account
Card,78847,Y, 
Card,78539,Y, 
Wallet,97530,Y, 
Wallet,56285,Y, 
Card,97429,Y, 
Internet Banking,25840,N,Invalid Internet Banking Account
UPI,68719,Y, 
Card,75239,N,Invalid UPI Account
UPI,75122,Y, 
UPI,58285,Y, 
Card,44327,N,Invalid UPI Account
Card,80046,N,Invalid Card
UPI,96006,Y, 
Internet Banking,61234,N,Invalid Card
Wallet,19642,Y, 
Internet Banking,43341,N,Invalid CVV
Wallet,60166,N,Invalid Card
Card,21399,N,Invalid UPI Account
UPI,88474,Y, 
Card,83164,N,Invalid Card
Wallet,64639,Y, 
UPI,17312,Y, 
UPI,63882,Y, 
UPI,12941,Y, 
UPI,83365,N,Invalid Card
Internet Banking,84399,Y, 
Wallet,46293,N,Invalid Internet Banking Account
Card,11916,Y, 
Internet Banking,16799,Y, 
Internet Banking,28459,N,Invalid UPI Account
Wallet,81068,N,Invalid Card
UPI,39475,N,Invalid Card
Internet Banking,85831,N,Invalid UPI Account
UPI,11876,N,Invalid Internet Banking Account
UPI,59155,N,Invalid Internet Banking Account
Card,15955,N,Invalid Card
Wallet,38550,Y, 
UPI,99844,Y, 
UPI,52098,Y, 
Wallet,10060,N,Invalid Card
UPI,44233,N,Invalid UPI Account
UPI,16311,N,Invalid UPI Account
Card,36592,Y, 
UPI,55475,N,Invalid Card
Wallet,27046,N,Invalid Card
Internet Banking,89296,Y, 
Internet Banking,82156,N,Invalid UPI Account
Wallet,84406,Y, 
Wallet,57414,N,Invalid UPI Account
Internet Banking,82446,N,Invalid CVV
UPI,77089,N,Invalid UPI Account
Internet Banking,36618,Y, 
Card,52555,Y, 
UPI,64093,N,Invalid CVV
Wallet,58377,Y, 
UPI,29435,Y, 
Card,80994,N,Invalid Card
Wallet,14477,N,Invalid Card
UPI,38373,Y, 
Card,53163,N,Invalid Card
Wallet,18033,Y, 
Card,68275,N,Invalid Internet Banking Account
Wallet,42262,N,Invalid CVV
Internet Banking,19041,N,Invalid Card
Wallet,14244,Y, 
Wallet,93082,N,Invalid UPI Account
Card,68480,Y, 
UPI,42746,Y, 
UPI,80393,Y, 
Internet Banking,44392,Y, 
Wallet,84594,N,Invalid UPI Account
Wallet,52110,Y, 
Wallet,67357,N,Invalid CVV
UPI,66328,Y, 
UPI,42897,Y, 
Card,36650,N,Invalid UPI Account
Wallet,44582,N,Invalid Internet Banking Account
Wallet,29037,Y, 
UPI,70168,Y, 
Internet Banking,94005,Y, 
UPI,17427,Y, 
UPI,22843,Y, 
Card,37871,Y, 
UPI,79195,N,Invalid Internet Banking Account
Internet Banking,55260,Y, 
Internet Banking,44783,Y, 
Card,28607,N,Invalid Internet Banking Account
Wallet,88979,N,Invalid Internet Banking Account
Wallet,94808,Y, 
Wallet,13645,Y, 
Internet Banking,29665,Y, 
Wallet,46949,N,Invalid CVV
Internet Banking,25458,Y, 
Card,61165,N,Invalid UPI Account
Internet Banking,66590,Y, 
UPI,79650,N,Invalid UPI Account
Internet Banking,32501,N,Invalid Internet Banking Account
Internet Banking,20473,Y, 
Card,75440,N,Invalid CVV
Internet Banking,23921,Y, 
Card,27152,N,Invalid UPI Account
Card,34112,Y, 
UPI,29365,Y, 
UPI,25666,N,Invalid CVV
Internet Banking,83423,N,Invalid Card
Wallet,43785,Y, 
Card,76801,N,Invalid UPI Account
UPI,13426,N,Invalid Internet Banking Account
Card,16106,N,Invalid UPI Account
Internet Banking,55455,N,Invalid Card
Wallet,69576,N,Invalid CVV
Internet Banking,82135,N,Invalid Internet Banking Account
Internet Banking,48724,N,Invalid UPI Account
UPI,82696,N,Invalid Internet Banking Account
Internet Banking,67078,N,Invalid CVV
UPI,60652,N,Invalid CVV
Card,40324,Y, 
Card,52240,N,Invalid CVV
UPI,77681,N,Invalid Internet Banking Account
UPI,24814,N,Invalid CVV
Card,77151,N,Invalid Internet Banking Account
Card,41956,Y, 
Internet Banking,34782,Y, 
UPI,24219,Y, 
Card,72249,Y, 
Card,33360,Y, 
UPI,55836,N,Invalid UPI Account
Card,54189,N,Invalid Internet Banking Account
Card,26257,N,Invalid CVV
Wallet,70161,Y, 
Wallet,87021,N,Invalid CVV
Internet Banking,82877,N,Invalid Internet Banking Account
Internet Banking,17754,Y, 
Internet Banking,15420,N,Invalid Internet Banking Account
Wallet,36800,Y, 
Internet Banking,75704,Y, 
Card,62206,Y, 
Card,12102,N,Invalid Card
Card,23129,N,Invalid Internet Banking Account
UPI,44473,N,Invalid Internet Banking Account
Card,87818,N,Invalid Card
Wallet,55200,N,Invalid CVV
Wallet,26361,N,Invalid UPI Account
Wallet,62397,Y, 
Wallet,76639,Y, 
Wallet,11642,N,Invalid Internet Banking Account
Card,59665,Y, 
UPI,93588,Y, 
Card,96718,Y, 
Internet Banking,74425,N,Invalid UPI Account
Card,53962,Y, 
Card,58783,Y, 
Internet Banking,88550,Y, 
Internet Banking,47100,N,Invalid CVV
Internet Banking,30363,Y, 
Internet Banking,89783,Y, 
Wallet,39132,Y, 
Internet Banking,36748,Y, 
UPI,30226,Y, 
Card,59643,Y, 
UPI,83564,Y, 
Internet Banking,85046,Y, 
Wallet,24528,N,Invalid Internet Banking Account
Wallet,69563,N,Invalid UPI Account
Wallet,95564,N,Invalid CVV
Internet Banking,61321,N,Invalid CVV
Internet Banking,24677,N,Invalid Card
Card,60242,Y, 
Internet Banking,57865,N,Invalid Internet Banking Account
Internet Banking,70484,N,Invalid Card
Wallet,71762,N,Invalid CVV
Internet Banking,24521,N,Invalid CVV
Wallet,34023,N,Invalid UPI Account
Wallet,54877,N,Invalid CVV
Wallet,84741,N,Invalid UPI Account
UPI,86933,Y, 
UPI,36041,Y, 
UPI,45227,N,Invalid UPI Account
Card,75616,N,Invalid Card
Card,78018,Y, 
UPI,39837,N,Invalid CVV
Internet Banking,95872,N,Invalid Card
Card,32901,Y, 
Card,76697,N,Invalid Internet Banking Account
Wallet,41780,N,Invalid UPI Account
Wallet,96081,N,Invalid Card
Internet Banking,34415,N,Invalid Card
Card,34634,Y, 
Card,23866,Y, 
Internet Banking,86193,N,Invalid CVV
Card,14575,N,Invalid CVV
UPI,39676,N,Invalid Internet Banking Account
Card,28272,N,Invalid CVV
Wallet,95523,Y, 
Card,89100,N,Invalid UPI Account
Internet Banking,46594,Y, 
Internet Banking,48071,Y, 
UPI,16716,N,Invalid UPI Account
Internet Banking,10609,Y, 
Wallet,69610,Y, 
Wallet,26067,N,Invalid UPI Account
Card,77329,Y, 
UPI,49102,Y, 
Card,83495,Y, 
Wallet,14112,N,Invalid Card
Wallet,56861,N,Invalid UPI Account
Card,14892,N,Invalid Internet Banking Account
Wallet,50567,Y, 
Internet Banking,69377,Y, 
Wallet,72843,N,Invalid Card
Internet Banking,46110,Y, 
Card,80952,Y, 
Internet Banking,67407,N,Invalid Internet Banking Account
Card,66641,Y, 
UPI,56908,N,Invalid UPI Account
Internet Banking,34879,N,Invalid CVV
Card,22827,N,Invalid UPI Account
Wallet,57834,N,Invalid UPI Account
Card,58097,Y, 
Wallet,32624,Y, 
Internet Banking,87458,N,Invalid Internet Banking Account
UPI,19873,N,Invalid Internet Banking Account
UPI,81986,N,Invalid CVV
Internet Banking,36234,N,Invalid CVV
UPI,84109,N,Invalid CVV
Internet Banking,53837,Y, 
Card,41905,N,Invalid Card
UPI,53251,N,Invalid CVV
Internet Banking,82220,N,Invalid UPI Account
Card,69940,N,Invalid Internet Banking Account
Card,84267,N,Invalid Internet Banking Account
Card,50101,Y, 
UPI,40392,Y, 
Wallet,93165,N,Invalid Card
UPI,81874,Y, 
Wallet,56269,N,Invalid UPI Account
UPI,92540,N,Invalid UPI Account
Internet Banking,30692,Y, 
Internet Banking,57316,Y, 
Card,52538,Y, 
Card,56191,N,Invalid UPI Account
Wallet,84362,Y, 
Wallet,55185,Y, 
Internet Banking,95496,Y, 
Internet Banking,41659,N,Invalid Internet Banking Account
Wallet,16382,N,Invalid Card
UPI,13951,Y, 
Wallet,23359,Y, 
UPI,44413,Y, 
UPI,63003,N,Invalid CVV
Internet Banking,75563,Y, 
Card,26360,N,Invalid UPI Account
Internet Banking,34900,N,Invalid UPI Account
Wallet,55737,Y, 
UPI,21754,N,Invalid CVV
Card,89030,N,Invalid Card
Wallet,84333,Y, 
Card,78007,N,Invalid Card
Card,54251,Y, 
UPI,80971,N,Invalid Card
UPI,98067,N,Invalid UPI Account
Wallet,26837,N,Invalid CVV
Internet Banking,48065,Y, 
Card,86623,Y, 
Internet Banking,86328,Y, 
Internet Banking,41562,N,Invalid Card
Card,89490,Y, 
Card,21053,N,Invalid CVV
UPI,96320,Y, 
Wallet,81277,N,Invalid Internet Banking Account
Card,28978,Y, 
UPI,43803,Y, 
Card,71827,N,Invalid Internet Banking Account
Card,95745,Y, 
Card,87748,Y, 
UPI,64556,N,Invalid CVV
UPI,12780,N,Invalid UPI Account
Internet Banking,57025,Y, 
Wallet,73736,Y, 
Internet Banking,11075,Y, 
Wallet,66639,Y, 
Card,72632,N,Invalid Internet Banking Account
Internet Banking,44583,Y, 
Wallet,50016,N,Invalid CVV
UPI,27891,Y, 
Internet Banking,47737,Y, 
Card,83135,N,Invalid Card
Internet Banking,77871,Y, 
Card,25619,Y, 
Wallet,97425,N,Invalid Card
Internet Banking,44020,Y, 
Card,83326,Y, 
Internet Banking,58049,Y, 
Wallet,72239,N,Invalid CVV
Internet Banking,25618,N,Invalid Internet Banking Account
Internet Banking,85813,N,Invalid Internet Banking Account
Wallet,54431,Y, 
Card,20327,Y, 
Wallet,90427,Y, 
Wallet,76358,N,Invalid Card
UPI,92881,Y, 
Internet Banking,81297,N,Invalid UPI Account
UPI,28958,N,Invalid CVV
Internet Banking,82027,N,Invalid CVV
Wallet,16199,Y, 
Card,11678,Y, 
Wallet,54857,N,Invalid Card
Internet Banking,11313,Y, 
Wallet,11440,N,Invalid Card
Internet Banking,53893,N,Invalid Card
UPI,26298,N,Invalid UPI Account
UPI,79282,N,Invalid UPI Account
Card,46469,N,Invalid CVV
Internet Banking,33254,Y, 
UPI,59717,Y, 
Internet Banking,21445,N,Invalid Internet Banking Account
Card,73459,N,Invalid Card
Card,85317,N,Invalid UPI Account
Internet Banking,13077,N,Invalid Internet Banking Account
Wallet,24390,Y, 
Wallet,43989,N,Invalid Internet Banking Account
Card,76322,Y, 
Internet Banking,76353,Y, 
UPI,81950,N,Invalid UPI Account
Card,70422,Y, 
Card,64001,N,Invalid CVV
Wallet,14020,Y, 
Internet Banking,62950,N,Invalid CVV
Internet Banking,16216,Y, 
Card,53817,Y, 
Internet Banking,65931,Y, 
Wallet,40785,Y, 
Card,21960,N,Invalid UPI Account
UPI,54581,Y, 
Internet Banking,17978,N,Invalid CVV
Internet Banking,31469,Y, 
UPI,70929,Y, 
Internet Banking,30658,N,Invalid Card
Internet Banking,45194,Y, 
Wallet,50026,N,Invalid CVV
UPI,55638,Y, 
Card,56550,N,Invalid UPI Account
UPI,34608,N,Invalid CVV
Internet Banking,89058,N,Invalid Card
UPI,44624,Y, 
Card,82120,Y, 
Internet Banking,18500,N,Invalid CVV
